ID,ADDRESS,CITY,STATE,ZIP,Month,Year,URL,TYPE,GEOCODEADDRESS,Long,LAT,coordinates,,SIDE
1,709 E 7 1/2 St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/709+E+7+1%2F2+St,+Houston,+TX+77007/@29.7845961,-95.3904271,18z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640b8a612076841:0x46f9d38839a77abe!8m2!3d29.7845938!4d-95.3893301",Current,"709 E 7TH 1/2 ST, HOUSTON, TX, 77007",-95.38953,29.78436,"-95.38953,29.78436",96061647,L
2,421 Oxford St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/421+Oxford+St,+Houston,+TX+77007/@29.7787632,-95.3942064,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640b8a99752e57f:0x55f8f70ba311a94a!8m2!3d29.7787586!4d-95.3920124",Past,"421 OXFORD ST, HOUSTON, TX, 77007",-95.391785,29.778715,"-95.391785,29.778715",96061676,L
3,448 Harvard St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/448+Harvard+St,+Houston,+TX+77007/@29.7794601,-95.3981329,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c7565b2b605d:0xcbfd78c7826e4551!8m2!3d29.7794555!4d-95.3959389",Past,"448 HARVARD ST, HOUSTON, TX, 77007",-95.396164,29.778711,"-95.396164,29.778711",96061535,R
4,630 Cortlandt St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/630+Cortlandt+St,+Houston,+TX+77007/@29.7825247,-95.3970694,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c757ee147539:0x49baa4b131f84847!8m2!3d29.7825201!4d-95.3948754",Past,"630 CORTLANDT ST, HOUSTON, TX, 77007",-95.395134,29.782118,"-95.395134,29.782118",96061542,R
5,631 Harvard St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/631+Harvard+St,+Houston,+TX+77007/@29.7826384,-95.3987055,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c75782948e65:0xe421e1b1f02f146!8m2!3d29.7826338!4d-95.3965115",Past,"631 HARVARD ST, HOUSTON, TX, 77007",-95.39625,29.78211,"-95.39625,29.78211",96061526,L
6,1219 Arlington St,Houston,Texas,77008,AUGUST,2019,"https://www.google.com/maps/place/1219+Arlington+St,+Houston,+TX+77008/@29.7935761,-95.3966911,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c75ff2f01745:0xc03fd457922d8ae3!8m2!3d29.7935715!4d-95.3944971",Past,"1219 ARLINGTON ST, HOUSTON, TX, 77008",-95.39426,29.79303,"-95.39426,29.79303",96061328,L
7,928 Fugate St,Houston,Texas,77009,AUGUST,2019,"https://www.google.com/maps/place/928+Fugate+St,+Houston,+TX+77009/@29.7948762,-95.3860679,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640b8a2aebef7b5:0xf5aa2fd4926b78fb!8m2!3d29.7948716!4d-95.3838739",Past,"928 W FUGATE ST, HOUSTON, TX, 77009",-95.38324,29.795052,"-95.38324,29.795052",96065337,L
8,707 E 9th St,Houston,Texas,77007,AUGUST,2019,"https://www.google.com/maps/place/707+E+9th+St,+Houston,+TX+77007/@29.7873758,-95.3917222,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640b8a690f0ff29:0xde2dcee4caf6c7c3!8m2!3d29.7873712!4d-95.3895282",Past,"707 E 9TH ST, HOUSTON, TX, 77007",-95.38961,29.787125,"-95.38961,29.787125",96061500,L
9,1402 Harvard St,Houston,Texas,77008,JUNE,2019,"https://www.google.com/maps/place/1402+Harvard+St,+Houston,+TX+77008/@29.7964745,-95.3983169,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c7605c3402b3:0x42f03b690421dcf8!8m2!3d29.7964699!4d-95.3961229",Past,"1402 HARVARD ST, HOUSTON, TX, 77008",-95.39652,29.796421,"-95.39652,29.796421",96061305,R
10,1322 Harvard St,Houston,Texas,77008,JUNE,2019,"https://www.google.com/maps/place/1322+Harvard+St,+Houston,+TX+77008/@29.7954046,-95.39837,17z/data=!3m1!4b1!4m9!1m3!11m2!2slDUr5z1DYHMJ4AWPTptyr_UxlpkHng!3e3!3m4!1s0x8640c7607b6c5a8b:0xb59e575a38318907!8m2!3d29.7954!4d-95.396176",Past,"1322 HARVARD ST, HOUSTON, TX, 77008",-95.396484,29.794895,"-95.396484,29.794895",96061307,R
